Schulnummer;Kurzbezeichnung;Bezirksregierung;Kreis;Gemeinde;Sozialindexstufe
135859;Bergkamen, GG Jahn;BR Arnsberg;Kreis Unna;Bergkamen;2
135860;Bergkamen, GG Overberger;BR Arnsberg;Kreis Unna;Bergkamen;1
135872;Bergkamen, GG Pfalz;BR Arnsberg;Kreis Unna;Bergkamen;4
135884;Fröndenberg/Ruhr, GG Friedhofstr.;BR Arnsberg;Kreis Unna;Fröndenberg/Ruhr;2
135896;Fröndenberg/Ruhr, KG Overbergschule;BR Arnsberg;Kreis Unna;Fröndenberg/Ruhr;2
135902;Fröndenberg/Ruhr, GG Sonnenbergschule;BR Arnsberg;Kreis Unna;Fröndenberg/Ruhr;1
135926;Bönen, GG Goetheschule;BR Arnsberg;Kreis Unna;Bönen;3
135938;Bönen, GG Hellwegschule;BR Arnsberg;Kreis Unna;Bönen;3
135951;Holzwickede, GG Nordschule;BR Arnsberg;Kreis Unna;Holzwickede;4
135963;Holzwickede, GG Paul-Gerhardt-Schule;BR Arnsberg;Kreis Unna;Holzwickede;1
135975;Holzwickede, KG Aloysiusschule;BR Arnsberg;Kreis Unna;Holzwickede;5
135987;Holzwickede, EG Dudenroth;BR Arnsberg;Kreis Unna;Holzwickede;2
135999;Hamm, GG Jahnschule;BR Arnsberg;Stadt Hamm;Hamm;6
136001;Hamm, GG Schillerschule;BR Arnsberg;Stadt Hamm;Hamm;6
136013;Hamm, GG Lessingschule;BR Arnsberg;Stadt Hamm;Hamm;5
136025;Hamm, GG Selmigerheide;BR Arnsberg;Stadt Hamm;Hamm;2
136037;Hamm, GG Carl-Orff-Schule;BR Arnsberg;Stadt Hamm;Hamm;1
136050;Hamm, GG Im grünen Winkel;BR Arnsberg;Stadt Hamm;Hamm;1
136062;Hamm, GG (Verb.) Maximilianschule;BR Arnsberg;Stadt Hamm;Hamm;2
136074;Bad Berleburg, GG Burgfeld;BR Arnsberg;Kreis Siegen-Wittgenstein;Bad Berleburg;4
136086;Bad Berleburg, GG Im Odeborntal;BR Arnsberg;Kreis Siegen-Wittgenstein;Bad Berleburg;2
136098;Bad Laasphe, GG (Verb.) Bahnhofstraße;BR Arnsberg;Kreis Siegen-Wittgenstein;Bad Laasphe;3
136104;Bad Berleburg, GG Aue-Wingeshausen;BR Arnsberg;Kreis Siegen-Wittgenstein;Bad Berleburg;2
136128;Bad Berleburg, GG (Verb.) Edertalschule;BR Arnsberg;Kreis Siegen-Wittgenstein;Bad Berleburg;1
136153;Bad Berleburg, GG Unterm Heiligenberg;BR Arnsberg;Kreis Siegen-Wittgenstein;Bad Berleburg;1
136189;Erndtebrück, GG Schulstr.;BR Arnsberg;Kreis Siegen-Wittgenstein;Erndtebrück;2
136190;Bad Laasphe, GG Banfe;BR Arnsberg;Kreis Siegen-Wittgenstein;Bad Laasphe;2
136207;Bad Laasphe, GG Feudingen;BR Arnsberg;Kreis Siegen-Wittgenstein;Bad Laasphe;1
136281;Düsseldorf, GH Graf-Recke-Str.;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;7
136323;Düsseldorf, KH Itterstr.;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;9
136359;Düsseldorf, GH Dumont-Lindemann;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;8
136384;Düsseldorf, GH Schule am Eller Forst;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;8
136440;Düsseldorf, KH St.-Benedikt-Schule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;8
136505;Düsseldorf, GH Benrath;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;9
136566;Düsseldorf, GH Rather Kreuzweg;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;9
136967;Essen, KH Marienschule;BR Düsseldorf;Stadt Essen;Essen;8
136980;Essen, GH an der Wächtlerstraße;BR Düsseldorf;Stadt Essen;Essen;9
137364;Essen, GH Bochold;BR Düsseldorf;Stadt Essen;Essen;9
137674;Leverkusen, GH Theodor-Wuppermann;BR Köln;Stadt Leverkusen;Leverkusen;9
137716;Mönchengladbach, KH Neuwerk;BR Düsseldorf;Stadt Mönchengladbach;Mönchengladbach;7
137728;Mönchengladbach, KH Anna Schiller;BR Düsseldorf;Stadt Mönchengladbach;Mönchengladbach;5
137807;Mönchengladbach, GH Heinrich-Lersch;BR Düsseldorf;Stadt Mönchengladbach;Mönchengladbach;9
137947;Mülheim an der Ruhr, GH Sch.a.Hexbachtal;BR Düsseldorf;Stadt Mülheim a.d.Ruhr;Mülheim a.d.Ruhr;9
138344;Mönchengladbach, GH Comenius-Schule;BR Düsseldorf;Stadt Mönchengladbach;Mönchengladbach;9
138368;Mönchengladbach, GH Kirschhecke;BR Düsseldorf;Stadt Mönchengladbach;Mönchengladbach;9
138393;Mönchengladbach, GH Dohr;BR Düsseldorf;Stadt Mönchengladbach;Mönchengladbach;8
138538;Wuppertal, KH St.-Laurentius-Schule;BR Düsseldorf;Stadt Wuppertal;Wuppertal;6
138540;Wuppertal, KH Bernhard-Letterhaus-Schule;BR Düsseldorf;Stadt Wuppertal;Wuppertal;7
138629;Wuppertal, GH Helene-Weber-Schule;BR Düsseldorf;Stadt Wuppertal;Wuppertal;9
138680;Wuppertal, GH Oberbarmen;BR Düsseldorf;Stadt Wuppertal;Wuppertal;9
138708;Wuppertal, GH Barmen-Südwest;BR Düsseldorf;Stadt Wuppertal;Wuppertal;9
138848;Duisburg, GH Ludgerusstraße;BR Düsseldorf;Stadt Duisburg;Duisburg;8
139099;Velbert, GH Martin-Luther-King-Schule;BR Düsseldorf;Kreis Mettmann;Velbert;9
139166;Erkrath, GH Carl-Fuhlrott-Schule;BR Düsseldorf;Kreis Mettmann;Erkrath;7
139518;Korschenbroich, GH Korschenbroich;BR Düsseldorf;Rhein-Kreis Neuss;Korschenbroich;4
139671;Schwalmtal, GH Schwalmtal;BR Düsseldorf;Kreis Viersen;Schwalmtal;4
139701;Viersen, GH Max-von-der-Grün-Schule;BR Düsseldorf;Kreis Viersen;Viersen;7
139828;Goch, GH Gustav-Adolf-Schule;BR Düsseldorf;Kreis Kleve;Goch;6
139993;Moers, GH Justus-von-Liebig-Schule;BR Düsseldorf;Kreis Wesel;Moers;9
140272;Rees, GH Rheinschule Rees;BR Düsseldorf;Kreis Kleve;Rees;3
140387;Hückeswagen, GH Weststraße;BR Köln;Oberbergischen Kreis;Hückeswagen;5
140478;Leverkusen, KH Im Hederichsfeld;BR Köln;Stadt Leverkusen;Leverkusen;8
140545;Bonn, GH Karl-Simrock-Schule;BR Köln;Stadt Bonn;Bonn;6
140594;Bonn, GH August-Macke-Schule;BR Köln;Stadt Bonn;Bonn;7
140673;Bonn, GH Johannes-Rau-Schule;BR Köln;Stadt Bonn;Bonn;9
140685;Bonn, KH St.Hedwig-Schule;BR Köln;Stadt Bonn;Bonn;7
140843;Köln, GH Kurt-Tucholsky-Schule;BR Köln;Stadt Köln;Köln;9
140867;Köln, GH Bilderstöckchen;BR Köln;Stadt Köln;Köln;8
